poiId,city,poiName,commentCount,commentScore,heatScore,sightLevelStr,price,latitude,longitude,tagNameList,shortFeatures,reference_time,summary,opening_hours
80779,Harbin,Long Tower,2529,4.4,7.1,4A,85.0,45.748157,126.680378,Kid-friendly Hidden Gems; Observation Deck; Modern Architecture; Nighttime sightseeing,The high-altitude rotating restaurant offers a view of the night scene; overlooking the panoramic view of Harbin from a height of 100 meters.,2-3 hours,"Long Tower, with a height of 336 meters, ranks second in the world and first in Asia among steel towers. It is a comprehensive multi-functional tower integrating broadcast and television transmission, tourism, dining and entertainment, advertising, environmental and meteorological monitoring, microwave communication, and wireless communication. It is an iconic landmark of Harbin, Northeast China. 

The total area of Long Tower is 16,600 square meters, with the base covering 13,000 square meters and the tower building covering 3,600 square meters. The tower base consists of one underground floor and four above-ground floors, forming a spherical crown shape. The tower body is an octagonal prism, with a parabolic shape and a cylindrical shaft in the center. The structure is surrounded by seven silver-white aluminum alloy panels and nine dark blue coated glass panels. The tower's lower and upper levels are located at 181 meters and 206 meters, respectively, consisting of a disc-shaped lower tower and a circular upper tower. The antennas are positioned between 220.5 meters and 336 meters. 

Long Tower has meticulously created an ""honorable hospitality"" service, adhering to aviation service standards and forming a team with international service capabilities. It has successfully hosted many central government leaders, including Li Changchun, member of the Standing Committee of the Political Bureau of the CPC Central Committee, and He Guoqiang, Secretary of the Central Commission for Discipline Inspection, as well as foreign dignitaries such as Russian Deputy Prime Minister Sergey Khristenko and former South Korean Prime Minister Lee Soo-sung. Large-scale delegations from Hong Kong, Macau, and the business and professional sectors, as well as celebrities from the entertainment and business industries, often visit the tower. Visitors often praise the tower’s unique features, beautiful scenery, delicious food, and excellent service. Long Tower has become a must-visit tourist destination for both domestic and international travelers.",Opens at 09:00-20:00(Tickets available until 19:30)
77092,Harbin,Heilongjiang Provincial Museum,280,4.2,5.8,,0.0,45.757573,126.640942,Museums; Venue exhibition hall,Look at animal fossils and historical relics,1-2 hours,"Heilongjiang Provincial Museum is a large comprehensive provincial museum. In 1962, Mr. Guo Moruo inscribed the name of the museum. It is the center of collecting historical relics, works of art and animal and plant specimens in Heilongjiang Province. There are about 110,000 pieces in various collections. Neolithic jade articles, Tang Dynasty Bohai gilded bronze Buddha and golden Buddha, Jin Dynasty silk clothing, etc. are all fine products. The late Cretaceous flat-headed hadrosaur unearthed in Longgushan, Jiayin County, Heilongjiang Province, and three large fossil skeletons of Quaternary woolly rhinoceros and mammoth collected from Qinggang County, dating back 20,000 years, are also precious cultural relics.  
The main building of Heilongjiang Provincial Museum, founded in 1906, is a European Baroque building and the former site of the former Russian shopping mall.",Open at  09:00-16:30(Admission ends at 15:30)
90444,Harbin,Volga Manor,3116,4.6,8.0,4A,148.0,45.673086,126.903819,Resort; Experience slow living,Russian Style Manor,0.5-1 day,"The Volga Manor is located on the banks of the Ashi River in the suburban area of Harbin, covering an area of over 600,000 square meters. It is a national AAAA-level cultural tourism attraction, a base for China-Russia cultural exchange, a creative base for the Russian Artists Association, and an international exchange center of Moscow University. The manor advocates the business philosophy of ""cultural depth for long-term success, and taste for true value."" The reconstructed St. Nicholas Church and the riverside restaurant carry the memories of the old Harbin residents; the Petrov Art Palace and the Pushkin Exhibition Hall provide platforms for cultural and artistic exchange. It is a cultural destination for tourists, a vacation manor.

The manor can accommodate approximately 1,000 people for dining and 800 people for accommodation, offering high-quality services for tourism, leisure vacations, exhibitions, business meetings, study tours, weddings, outdoor sports, and other activities.","Opens at Winter 08:30-16:30,Opens at Summer 08:30-17:00"
30653874,Harbin,Yabuli Forest Hot Springs,334,4.7,6.1,,108.0,44.792157,128.486516,Experience slow life; Treasure place for walking babies; Hot Springs,Tropical garden scenery indoor hot spring,0.5-1 day,"· Yabuli Forest Hot Spring is located in Yabuli Tourist Resort, Heilongjiang Province. The hot spring is divided into two areas: indoor pavilion and outdoor hot spring. 
The indoor pavilion takes tropical garden scenery as the theme of hot springs, and combines the abundant Chinese herbal medicine resources in local mountainous areas to create local characteristic medicinal hot springs. There are more than 20 kinds of characteristic hot springs such as ginseng spring, ganoderma lucidum spring, astragalus spring and schisandra spring. 
· Outdoor hot spring pools are distributed in the original birch forest and pine forest, and you can experience the hot spring experience of spring flowers, summer green, autumn yellow and winter snow.",Opens at 09:00-21:00
30791706,Harbin,Harbin Sunac Land,4270,4.5,7.0,4A,0.0,45.806857,126.505985,Hi Fun Park; Treasure Spot for Kids; Amusement Parks,Fusion of Northeast folk customs and amusement attractions.,0.5-1 day,"Harbin Sunac Land mainly includes four major attractions: the outdoor theme park, Snow World, the Central Grand Theatre, and Movie World, along with a high-end hotel cluster and Sunac Mall, featuring world-renowned brands.  
On November 23, 2019, Harbin Sunac Land grandly opened its new winter project, the Lantern World!",Opening hours TBD
145689371,Harbin,Snow Sculpture Art Park,0,0.0,1.6,,0.0,45.78975,126.595481,,,,"Sun Island International Snow Sculpture Art Expo is the birthplace and leader of national snow sculpture art, an important part of Harbin Ice and Snow Festival, and the biggest highlight of Harbin's ice and snow tourism. Because of its long exhibition period (60-70 days), high quality, new content, large scale and strong interest, it is known as the largest ice and snow carnival in the world.",
77063,Harbin,Stalin Park,278,4.6,6.0,,0.0,45.779396,126.612656,City Parks,Songhua River Open Landscape Park,1-2 hours,"Formerly known as Riverside Park, located on the south bank of Songhua River, it is a belt-shaped open park built along the embankment and near the water. It imitates the Russian classical architectural style and the ""five-color grass flower beds"" all over the park, as well as the sixteen groups of artistic sculptures distributed among green spaces, such as ""Swan Spreading Wings"", ""Three Teenagers"", ""Starting"", ""Diving"" and ""Sword Dancing"", each with its own characteristics. It faces the famous Sun Island across the river. In addition, the center of the park is the symbol of Harbin city-the Flood Control Memorial Tower, which was built to commemorate the victory of Harbin people over the catastrophic flood in 1957.  
· The riverside restaurant in the park was built before liberation (Puppet Manchukuo period), located on the west side of the Flood Control Memorial Tower and near the yacht dock. It was built after Russian classical wooden structures. The roof ridge is strewn at random, with sharp edges and corners, and colorful. The appearance is in the shape of building blocks. The transparent outer corridor facing the river and the indoor European architectural pattern reflect the simple and elegant European architectural style. In the 1950s, Changchun Film Studio used its modeling structure to shoot several sets of shots in the movie Xu Qiuying Case, and other film and television organizations also successively shot shots of movies and TV dramas such as Black Triangle, Ming Girl, Harbin at Night, The Story of Church Street and Annual Rings in Stalin Park, which shows how attractive the scenery of Stalin Park is. 
In summer, the river is refreshing, the green willows are shaded, and the natural bathing beach is wide along the river, which is a summer resort for tourists; In winter, watching the ice and snow world in the north is pleasing to the eye and wonderful.","Open year round, 24/7"
94782,Harbin,Snow Valley,200,4.7,5.7,,0.0,44.387621,128.140871,Climb a mountain; Snow Mountains; Villages,"Original ecology open snowfield, good snow quality",1 day,"""Snow Valley"" has the original charm of deep mountains and old forests, without any pollution sources, and is a good choice for four-season eco-tourism in Longjiang. You can climb mountains for photography in spring; Summer leisure, eco-sightseeing and rafting; Watch Wuhua Mountain and explore mountaineering in autumn; Cross China's snow valley in winter and climb the peak for thousands of meters; Ten thousand meters of snow floating. 
Above the starting point of the snow valley, you can enjoy the original ecological beauty by hiking, go-karting, sightseeing bus and horse sledge. At the foot of Dadingzi Mountain, about 13 kilometers away from the field, there are many snow mushrooms, and the grass is covered with snow, just like the grasslands in Europe.",Opens at 07:00-17:00
96156,Harbin,Sun Island Ice and Snow Art Museum,135,4.6,5.5,,195.0,45.79109,126.59159,Featured exhibition hall; Venue exhibition hall; Fine Art Galleries,Appreciate precious calligraphy and painting works,2-2.1 hours,"The Ice and Snow Art Museum is currently the largest indoor ice and snow art venue in the world. 
The ice scene in the museum is made of natural ice and artificial snow of Songhua River, so that the ice and snow landscape that is only available in winter can be realized indoors in spring, summer and autumn. 
If you come here in summer and the temperature difference between indoor and outdoor is too big, you must rent cotton-padded clothes and trousers.",Opens at 08:30-17:30
56778257,Harbin,Harbin Institute of Technology,56,4.7,5.6,,0.0,45.7431,126.632468,Schools,The first batch of 211 key universities in China,1-2 hours,"Harbin Institute of Technology, referred to as Harbin Institute of Technology for short, is located in Harbin, an ice city in northern China. It is a university directly under the Ministry of Industry and Information Technology of the People's Republic of China. It is one of the first batch of key construction institutions of Project 211 and Project 985. The Soviet-style main building is very distinctive. The Russian architectural style is classical, absorbing and compromising various European architectural styles, and wins with its tall, solemn and mysterious momentum. The movie ""Lover's Knot"" was shot here.","Open from 7/15-8/25,8:30am-7:00pm"
77083,Harbin,Heilongjiang Forest Botanical Garden,284,4.6,4.3,,0.0,45.704737,126.650922,Treasure place for walking babies; Botanical Gardens,Forest oxygen bar in urban area,2-4 hours,"Harbin Forest Botanical Garden is a large-scale botanical garden in the north, which is famous for planting woody and herbaceous plants in cold temperate zones. It is a good place for weekend vacation and leisure and fully appreciate the tranquility and mystery of the big forest. Visitors can enjoy the cold temperate plants with strange scenery in the park, have forest entertainment and camping, and fish leisurely in the quiet artificial lake. This place is attracting more and more people in cities. Shangxiajiu Pedestrian Street, the whole street is full of delicious food, and there are all kinds of snack shops with authentic flavors, including radish beef brisket, fish Dan, spicy chicken kidney, pearl powder and other Cantonese snacks.",Opening hours TBD
77059,Harbin,Jile Temple,112,4.6,4.1,,10.0,45.777543,126.664379,Temples,Famous Buddhist sites in Northeast China,1-2 hours,"Kek Lok Temple is one of the four famous Buddhist monasteries in the three northeastern provinces. It is also known as the four Buddhist jungles in Northeast China together with Changchun Prajna Temple, Shenyang Ci'en Temple and Yingkou Shengyan Temple. In fact, Kek Lok Temple is not big, and most of them are old people doing their homework. The most worth seeing are the Five Hundred Arhat Hall and the seven-level pagoda behind the temple. Every May, it is beautiful when lilac blooms. Every year on the eighth day of the fourth lunar month, April 18th and April 28th, there will be temple fairs, and there will be many small vendors selling food and play at the door, which will make it even more lively.",Opens at 8:00-15:30
18480909,Harbin,Heilongjiang Art Museum,56,4.6,3.2,,0.0,45.771002,126.628553,Featured exhibition hall; Venue exhibition hall; Art Museums,,1 hour,"Heilongjiang Art Museum, adjacent to the famous Santa Sophia Church, was founded in 1912 and has a typical 19th century European architectural style. There are many award-winning art and calligraphy works in the museum, which is especially suitable for friends who like art works.",Opens at 09:00-16:00(Admission ends at 16:00)
10553524,Harbin,Sun Island Silly Bear Park,28,4.3,3.0,,0.0,45.791474,126.598227,Playground; Amusement Parks,,0.5-1 day,"Sun Island Stupid Bear Paradise, located in the ecological woodland of Sun Island, is a theme amusement park integrating sightseeing and leisure, amusement experience, catering service and other functions. It is equipped with more than 20 amusement facilities such as flying boat surfing, hanging pulley, speed windmill, double-decker turntable, bounce machine, bumper car, disco turntable, whirlwind rider, children's naughty castle, children's mountain climbing car, etc. 
Transportation Harbin Railway Station: Railway Station-Minyi Street-Zhaolin Street-Stalin Street-Jingbei Street-Sun Island Scenic Area Harbin Municipal Government: Municipal Government-Jiangwan Road-G202-Sun Avenue-Jingbei Street-Sun Island Scenic Area",Opens at 09:00-17:00
18564086,Harbin,Harbin Beer Museum,79,4.3,3.9,,50.0,45.59525,126.720777,Museums; Venue exhibition hall,Feel a unique beer culture experience,2-3 hours,"Harbin Beer Museum is located in Pingfang District, Harbin. On September 20th, 2014, Harbin Beer Museum officially opened. Sun Honglei, a famous actor, appeared at the event and was awarded the honorary curator of Harbin Beer Museum. Harbin Beer Museum has a total construction area of 6,258 square meters and has three floors. It uses innovative high-tech and multimedia interactive devices to vividly restore beer history, interestingly show beer culture, and convey the most unique beer culture experience to consumers. At the same time, Harbin Beer Museum has special multimedia interactive devices such as dynamic cinema, and the first ice bar and beer college, which has a ""one-stop"" brand interactive experience.",Open at  09:00-16:00
24650065,Harbin,Harbin Bird Language Forest Zoo,8,2.6,2.1,,60.0,45.779634,126.671145,Zoos,A great place for weekend relaxation,2-3 hours,"The opportunity to take photos with animals, leaving beautiful childhood memories",Opening hours TBD
30063565,Harbin,China Eastern Railway Park,58,4.6,4.7,,0.0,45.779177,126.628894,City Parks,Learn about the history of trains,1-2 hours,"Harbin Middle East Railway Park is located in the section from Forest Street to Daxin Street in Daoli District. With the theme of related elements of Middle East Railway, it connects the south of the Yangtze River and the north of the Yangtze River. It is a good place for citizens to relax, sightseeing and keep fit. Here people can learn about the history of trains, feel the changes of the times and the development of science and technology. The park is divided into north and south districts. The southern district takes ""Railway and City"" as its theme, retains the traces of railway history, and forms a green living axis through the broken road network on the east side of the railway line, which perfectly combines railway culture and life. The theme of the North District is ""Middle East Railway Culture Exhibition"". Through Binzhou railway bridge, blockhouse, old railway station shape railway museum, station pavilion, railway track, steam locomotive and other Middle East railway buildings and facilities, as well as landscape walls, signs, sculptures and exhibition spaces, the development history of Middle East railway construction and Harbin urban development history are systematically displayed.","Open year round, 24/7"
18503792,Harbin,Harbin Century Automobile History Museum,51,4.8,4.6,,59.0,45.389124,126.346798,Museums; Venue exhibition hall,National Grade II Museum,1 hour,"Harbin Century Automobile History Museum is located in Shuangcheng City, Heilongjiang Province. It was built in 2007 with self-raised funds by Mr. Liu Bo, a member of the Shuangcheng CPPCC, a director of the World Classic Car Alliance, and a vice chairman of the China Classic Car Alliance. It took three years to build and covers an area of 7,000 square meters. With a building area of 3,800 square meters, it is the first professional classic car museum in China. The museum introduces the development process of automobiles by displaying more than 100 precious historical models. Its architectural style is characterized by the combination of East and West, elegance and modernity, with dignified and simple gray as the main tone, which makes visitors feel the attraction of tradition in the strong modern atmosphere.",Opens at 08:30-16:30(Admission ends at 16:00)
52135669,Harbin,Harbin Railway Museum,12,4.8,3.3,,0.0,45.750407,126.635634,Museums; Venue exhibition hall,,2-3 hours,"Harbin Railway Museum is located at No.86 Xidazhi Street, nangang district, Harbin. It used to be the Workers' Cultural Palace, and the earliest was the Middle East Railway Club. Since its completion in December 1911, it has gone through 106 years of vicissitudes. I used to rehearse cultural programs and watch staff cultural performances here. At the end of last year, on the occasion of the 70th anniversary of the establishment of Harbin Railway Bureau, it was transformed into a railway museum after the approval of the municipal government.","Open at  09:00-11:00,14:00-16:00"
77099,Harbin,Heilongjiang Provincial Museum of Ethnic Groups,25,4.7,3.4,,0.0,45.775992,126.674884,Museums; Venue exhibition hall,Characteristic architecture of museum site in Qing Dynasty,1-2 hours,"Heilongjiang Ethnic Museum was established in 1985 with Harbin Confucian Temple as its building. China's first provincial professional ethnic museum aims at collecting, researching and exhibiting Manchu, Mongolian, Hui, Korean, Hezhe, Oroqen, Ewenki, Daur, Xibe and Kirgiz nationalities in our province. These ethnic fish skin culture, birch skin culture, shaman culture, etc., all have strong national characteristics, are unique and charming. The basic exhibition of cultural relics of ethnic minorities in Heilongjiang Province mainly introduces the cultural relics of Manchu, Mongolian, Ewenki, Oroqen, Hezhe, Korean, Daur and Xibe nationalities in various aspects, such as production tools, living utensils, culture, religion and social life.",Open at  09:00-16:30(Admission ends at 16:00)
31660736,Harbin,Northeast Anti-Japanese United Army Memorial Park,14,0.0,2.8,,0.0,45.790856,126.608279,Memorial Halls,,1-2 hours,"""Northeast Anti-Union Memorial Park"" is located in the core area of Sun Island Scenic Area. It is the largest anti-Japanese education and memorial base in Northeast China. With the sculpture of anti-alliance soldiers, lake water and green grass as the core scenic spots, the performance content is different from the solemn commemorative mode in the past. The keynote is undulating terrain, towering trees and winding flowing water, which indicates the anti-Japanese battlefield between white mountains and black waters. The theme sculptures, anti-alliance camps and boulders reflected in the blue sky constitute a historical picture of the fighting life of the anti-alliance.",Opens at 8:00-17:00
18512287,Harbin,Russian River Park,66,4.7,3.7,,0.0,45.754866,126.65111,Block stroll; Night tour viewing; Featured Neighborhoods; Nighttime sightseeing,,1-2 hours,"Relying on the bank of Majiagou River, Russian River Garden is built between Gogol Street and Guangguang Bridge. The river garden spans 108 meters and has 6,000 square meters of leisure and shopping space. On the basis of the Russian civil trade block, a number of water landscapes were built on the south bank of Fendou Bridge and Majiagou River, large-scale musical fountains and water curtain movies were built, and bars with different styles were built for tourists to relax and sightseeing. All the facades of buildings on both sides of the river have been decorated, and cultural sculptures embodying humanistic connotations, Russian-style colonnades and pavilions will be built around the river garden.",
101447,Harbin,Northern Forest Zoo,947,4.5,5.5,4A,75.0,45.393455,127.115367,Cute Animals; Hidden Gem for Strolling with Kids; Zoos,Appreciate a variety of rare animals.,0.5-1 day,"The Harbin Northern Forest Zoo is located in the Pigeon Cave area in the southeast of Acheng, Harbin City, Heilongjiang Province, close to National Highway 301, 43 kilometers from downtown Harbin, with convenient transportation. 

The zoo is home to more than twenty modern animal enclosures, including those for birds of prey, the Bird Language Forest, Monkey Mountain, the Primate House, the Medium-sized Carnivore House, and the Polar Animal House, as well as five large free-range areas for lions and tigers, deer, bears, wolves, and African animals. The unique isolation methods in the free-range areas bring people closer to the animals. The zoo showcases over 300 species of animals, with more than 50,000 individual animals, including rare species such as the white tiger, white lion, polar bear, African cheetah, and national first-class protected animals like the Siberian tiger, Asian elephant, white-lipped deer, and red-crowned crane. Additionally, there are nearly 300 antelope species introduced from Africa, forming a spectacular African animal free-range area.",Opens at 08:30-16:00(Tickets available until 15:00)
77105,Harbin,Harbin Cultural Park,309,4.5,4.4,4A,0.0,45.780208,126.669051,Hidden Gems for Strolling with Kids; City Parks,A park and green space primarily for leisure and entertainment.,3-5 hours,"Harbin Amusement Park is famous for its unique and novel attractions. Among them is the latest Sino-Japanese cooperative project—the giant Ferris wheel, the 19th tallest in the world and the 12th tallest in China, standing at 110 meters. Riding the Ferris wheel offers a breathtaking panoramic view of the beautiful ""Little Paris of the East."" The four major imported attractions include the ""Fast Line Station,"" which lifts 24 meters into the air before diving and spiraling in rapid loops; the ""Brave Turntable,"" which spins you at high altitudes for a thrilling experience; the ""Arabian Flying Carpet,"" which rises 6.5 meters and performs a 360-degree horizontal loop; and the ""Crazy Train,"" which delivers heart-stopping excitement with its 3D flips. The ""Super Spaceship"" takes you on a tour through space, while the ""Raging Rapids"" canoe lets you navigate through turbulent waters. The ""Head-Shaking Flying Chairs"" let you soar in the sky, and the ""Thunderbolt Space Car"" takes you on a journey through space. Other fun rides include the Disco Turntable, Bumper Cars, Gasoline Go-Karts, High-Flying Pedal Bikes, the Grand Carousel, Pirate Ship, and more, making it an unforgettable experience. In the leisure area, trees are abundant, the grass is lush, flowers are vibrant, and the water sparkles. The newly built free-fall ride in 2011 lifts riders 60 meters into the air before plummeting them down, offering a thrilling adventure through the ruins of the lost Mayan civilization.",Opening hours TBD
56809414,Harbin,Changqing Forest Farm,2,5.0,2.4,,0.0,44.445122,128.063446,Nature and Adventure; Forests,,0.5-1 day,"Changqing Forest Farm is located in the east of Phoenix Mountain National Forest Park, in Longzhaogou Forest Management Area of Shanhetun Forestry Bureau, Wuchang City, Heilongjiang Province, 248KM away from Harbin, bordering Xuexiang, China in the southeast, Weihe Forestry Bureau in the north and Dongsheng Forest Farm.",Open all day
24649294,Harbin,Datudingzi Mountain,7,4.7,2.7,,0.0,44.221853,127.732238,Climb a mountain; Mountains,,0.5-1 day,,
144114895,Harbin,Heilongjiang Provincial Library,0,0.0,1.9,,0.0,45.748957,126.68481,,,,"Heilongjiang Provincial Library is located at No.216 Changjiang Road, nangang district, Harbin. It was founded in 1906 (the 32nd year of Guangxu in Qing Dynasty). It was formerly the library founded in Qiqihar by the Academic Affairs Office of Heilongjiang General Administration. Heilongjiang Library has a collection of more than 3.51 million volumes (pieces). Among them, there are more than 2.81 million books in Chinese and foreign languages; More than 130,000 ancient books; More than 330,000 copies of newspapers; More than 180,000 microforms; More than 20,000 audio-visual materials; The total amount of digital resources reaches 402.96 TB. Due to geographical relations, there are also a large number of Russian and Japanese materials; There are nearly 20,000 kinds of local documents in the collection, which reflect the geology and mineral landforms, property resources, industrial and agricultural production and local customs of Northeast China and the province.",Open at  08:30-18:00
78221,Changchun,Museum of the Imperial Palace of the Manchukuo,4511,0.0,7.4,5A,70.0,43.905801,125.348676,Exploration Exhibition Hall; Hidden Gem for Kids; Museums,Puyi's Imperial Palace,2-3 hours,"· The Puppet Manchurian Imperial Palace Museum is established on the site of the former Puppet Manchurian Imperial Palace, where the last emperor, Aisin Gioro Puyi, resided as the puppet emperor of the Manchukuo state. It displays cultural relics such as the imperial car.  
· The palace is divided into the Outer Court for political activities and the Inner Court for daily life, which are now separately designated as the Manchukuo Palace Exhibition Hall and the Imperial Palace Exhibition Hall, with architectural landmarks including the Jixi Building, Zhonghe Gate, Huaiyuan Building, and Tongde Hall.  
· Part of the Imperial Palace has been designated as the Jilin Provincial Museum, showcasing historical materials of feudal dynasties established in Northeast China, such as Goguryeo, Balhae, Liao, and Jin.",Opens at 08:30-18:00(Tickets available until 15:40)
52031059,Changchun,Forest Park,0,0.0,1.4,,0.0,43.960782,125.3168,Nature and Adventure; Forests; Wetlands,,,"Jingyuetan is named after its crescent shape, with a forest coverage rate of 96%. It is known as the sister pool of Sun Moon Lake in Taiwan Province and is known as ""the largest artificial forest sea in Asia"". 
The park has lush trees and fresh air. It is not only an ecological leisure center, but also a sports and fitness center, suitable for hiking, renting bicycles or go on road trip. 
In winter, it becomes a natural ice rink after freezing. There are many ice events, such as dog-pulled sled, ice cross-country motorcycles, etc., which are very eye-catching. 
There is also a large ski resort here, which is the venue of the annual China Changchun Ice and Snow Tourism Festival and Changchun Jingyuetan Vasa International Cross-Country Ski Festival.","Open year round, 24/7"
