name,real_city,avg_price,small_cate,stars,review_count,good_remarks,bad_remarks,longitude,latitude,product_rating,environment_rating,service_rating
Dian Tao Theme Hotel,Sanya,214.5,Economy,4.5,7,7.0,0.0,109.441176,18.300195,8.4,8.5,8.5
Coastal Impression Resort Apartments,Sanya,262.5,Economy,4.5,2,2.0,0.0,109.513102,18.23364,8.5,7.9,8.5
Sanya Fuhangtang Apartment Resort Hotel,Sanya,507.0,Upscale,4.0,16,13.0,2.0,109.780821,18.400265,6.9,8.3,8.5
Hongjian Hotel,Sanya,127.5,Economy,4.5,3,3.0,0.0,109.454995,18.298252,8.3,8.5,8.6
Grand Hyatt Sunshine Sea View Apartment,Sanya,288.0,Economy,4.0,3,3.0,0.0,109.515975,18.222204,7.7,7.8,7.8
Sanya Seaside Resort Apartment,Sanya,198.0,Economy,3.5,7,5.0,0.0,109.412719,18.290248,7.4,7.5,7.6
Yishang Travel,Sanya,132.0,Economy,3.5,4,4.0,0.0,109.488646,18.265984,7.6,7.5,7.6
Sanya Perfect Holiday Resort Hotel,Sanya,144.0,Economy,3.5,10,10.0,0.0,109.489557,18.267177,7.5,7.5,7.6
Mu Luo Inn,Sanya,186.0,Economy,3.5,1,1.0,0.0,109.624858,18.253045,7.1,7.2,6.6
Green House Theme Inn,Sanya,162.0,Economy,3.5,15,11.0,1.0,109.499953,18.257913,7.2,7.3,7.2
Zhongsheng Happiness Resort Hotel,Sanya,147.0,Midscale,3.5,24,20.0,2.0,109.513159,18.245173,7.5,7.8,7.6
Happy Journey Sea View Resort Apartment,Sanya,282.0,Midscale,3.5,7,7.0,0.0,109.42148,18.29132,7.5,7.5,7.5
Sanya Xinjiang Resort Hotel,Sanya,348.0,Upscale,3.5,26,19.0,4.0,109.421237,18.295166,7.2,7.4,7.3
Xianghe Hotel,Sanya,268.5,Economy,3.5,4,4.0,0.0,109.516471,18.251568,7.5,7.6,7.6
That sea view vacation apartment over there,Sanya,450.0,Economy,3.5,11,11.0,0.0,109.495144,18.260818,7.1,7.1,7.1
Lido Sea View Business Hotel,Sanya,169.5,Economy,3.5,41,32.0,2.0,109.50957,18.237762,7.7,7.2,7.0
Sanya Harvest Qilin Hotel,Sanya,285.0,Economy,3.5,6,6.0,3.0,109.511449,18.251513,8.1,7.2,7.3
Yueya Business Travel,Sanya,117.0,Economy,3.5,5,5.0,0.0,109.542505,18.234096,7.5,7.6,7.4
Tianya Town Qingba Youth Hostel,Sanya,58.5,Economy,4.0,8,8.0,0.0,109.335485,18.302806,7.6,7.8,7.9
Yimeng Sea View Resort Apartment,Sanya,103.5,Economy,4.0,4,4.0,0.0,109.501277,18.250136,7.6,7.7,7.8
Guoxi Hotel,Sanya,351.0,Upscale,3.5,53,31.0,8.0,109.501369,18.261151,7.0,7.1,7.0
Haidu Vacation Seaview Apartment,Sanya,133.5,Economy,3.5,13,11.0,1.0,109.500633,18.250638,7.0,7.0,6.9
Meiliya Apartment,Sanya,135.0,Economy,3.5,22,19.0,1.0,109.72896,18.272593,7.5,7.8,7.5
Dadonghai Meihai Xiaozhu Inn,Sanya,90.0,Economy,4.0,6,6.0,0.0,109.527224,18.223961,7.7,7.8,7.9
Early Summer Boutique Suite with Sea View Apartment,Sanya,145.5,Economy,4.0,3,3.0,0.0,109.520304,18.223009,7.8,7.9,7.9
Jiamei Haiyun Hotel,Sanya,207.0,Economy,4.0,9,8.0,0.0,109.536468,18.298394,7.4,7.8,8.1
Bishui Yuntian Boutique Inn,Sanya,114.0,Economy,3.5,11,12.0,0.0,109.5044,18.250457,7.7,7.4,7.4
Sanya Xingyue Resort Hotel,Sanya,144.0,Upscale,3.5,15,11.0,0.0,109.527104,18.297116,7.2,7.0,7.2
Milu Sea View Inn,Sanya,162.0,Economy,4.0,4,4.0,0.0,109.497115,18.229737,7.9,7.9,8.0
Coastal Oasis Inn,Sanya,231.0,Midscale,4.0,6,6.0,0.0,109.333527,18.30562,7.8,7.7,7.9
Beyond Haiyun Family Hotel,Sanya,100.5,Economy,3.5,25,20.0,1.0,109.500633,18.251831,7.9,7.6,7.5
Star Sky Circle Business Hotel,Sanya,223.5,Economy,4.0,3,1.0,1.0,109.702942,18.310218,7.8,7.9,7.9
Meitou Sea View Resort Apartment,Sanya,207.0,Economy,3.5,70,49.0,8.0,109.421269,18.291124,7.6,7.6,7.7
Sunflower Coast Inn,Sanya,271.5,Economy,4.0,14,13.0,0.0,109.398718,18.307921,7.1,8.6,8.2
Wuxin Inn,Sanya,147.0,Economy,4.0,7,6.0,0.0,109.514415,18.249369,8.2,8.2,8.0
Yalong Bay Xiyue Boutique Resort Villa,Sanya,379.5,Economy,3.5,13,13.0,0.0,109.6446601,18.23507987,7.3,7.3,7.1
Sanya Bay Sunshine Coast Sea View Resort Apartment,Sanya,183.0,Economy,4.0,12,12.0,0.0,109.400224,18.29008,7.8,7.9,8.0
Luyi Sea View Hotel,Sanya,474.0,Upscale,3.5,126,101.0,13.0,109.52094,18.221446,7.5,7.4,7.1
Dolphin Bay Theme Hotel,Sanya,124.5,Economy,3.5,21,19.0,0.0,109.500619,18.25602,7.9,7.6,7.5
Haitang Bay Adjacent Near Resort Apartment,Sanya,148.5,Economy,4.0,21,20.0,1.0,109.753037,18.388588,7.1,7.7,7.9
Sanya Zilu Inn,Sanya,186.0,Economy,4.0,3,3.0,0.0,109.62508,18.255066,8.0,7.7,8.1
Sanya Sunshine Holiday Resort Apartment,Sanya,202.5,Economy,2.0,43,27.0,12.0,109.64146,18.241268,7.0,5.9,5.8
Chenxi Xiaoshe Boutique Inn,Sanya,154.5,Economy,4.0,6,6.0,0.0,109.430182,18.292224,8.0,8.0,8.1
Sanya Haitang Luhu Resort Hotel,Sanya,663.0,Luxury,3.5,1,1.0,0.0,109.693331,18.307771,7.3,7.3,7.3
"Good morning, Seaside Villa Inn",Sanya,96.0,Economy,3.5,18,15.0,2.0,109.33463,18.302602,7.4,7.8,7.6
Sanya Junlin Holiday Hotel,Sanya,162.0,Economy,4.5,7,7.0,0.0,109.396587,18.296788,7.0,8.5,8.4
Sanya Bay Holiday Inn Express,Sanya,385.5,Economy,4.5,4,4.0,0.0,109.504355,18.253619,8.5,7.9,6.5
Meizhi Blue Sea View Resort Apartment,Sanya,141.0,Economy,3.5,1,1.0,0.0,109.457675,18.284066,7.1,7.1,7.1
Waiting for the Wind to Come Sea View Apartment Jinling Sea View Garden Branch,Sanya,252.0,Economy,4.5,18,18.0,0.0,109.517319,18.22314,8.5,8.6,8.6
Haiyue Oriental Hotel,Sanya,117.0,Economy,3.5,21,21.0,1.0,109.516053,18.246463,7.8,7.3,6.9
Kerry Sea View Hotel,Sanya,306.0,Upscale,3.0,3,1.0,0.0,109.432274,18.289365,7.0,6.1,6.2
Dalang Taosha Business Hall,Sanya,312.0,Economy,3.5,21,16.0,4.0,109.508163,18.24966,7.3,7.3,6.9
Sanya Sunshine Hotel,Sanya,474.0,Luxury,4.5,290,234.0,22.0,109.410962,18.290078,8.8,8.7,8.0
Sanya Guijingchun Express Hotel,Sanya,112.5,Economy,4.5,3,3.0,0.0,109.51294,18.248631,8.5,8.6,8.0
Banhai Luxury Resort Apartment,Sanya,127.5,Economy,4.5,9,9.0,0.0,109.520508,18.223459,8.5,8.6,8.5
Jiaxuan Holiday Hotel,Sanya,192.0,Economy,3.5,22,18.0,4.0,109.4438,18.30036,7.8,7.7,7.6
Sanya Years Workshop loft duplex apartment,Sanya,138.0,Economy,3.5,1,1.0,0.0,109.507968,18.245669,7.2,7.2,7.2
Flying Bird Sea View Resort Apartment,Sanya,462.0,Economy,4.0,7,7.0,0.0,109.3861298,18.28964964,7.6,7.9,7.8
Sanya Heart One Scenery Zen Hotel,Sanya,331.5,Upscale,4.0,4,6.0,0.0,109.505962,18.257418,7.6,7.7,7.7
Ziroom Meilin Water Residence Hotel Apartments,Sanya,373.5,Economy,4.0,3,3.0,0.0,109.485518,18.284533,7.9,8.0,8.1
Sanya Minsheng Home Hotel,Sanya,234.0,Economy,4.0,3,3.0,0.0,109.514611,18.252331,8.5,8.1,8.5
Tian Shou Sunshine Holiday Villa Hotel,Sanya,144.0,Economy,4.0,7,8.0,0.0,109.55473,18.239771,7.9,8.0,8.0
Dolphin Bay Boutique Inn,Sanya,142.5,Economy,4.5,10,11.0,0.0,109.520881,18.221948,8.5,8.5,8.6
Yu Jian Inn,Sanya,75.0,Economy,4.0,4,4.0,0.0,109.519358,18.227685,8.0,8.1,7.7
Sanya Kaifeng Hotel,Sanya,303.0,Upscale,3.5,63,42.0,12.0,109.485206,18.28714,7.2,7.1,7.1
Phoenix Lemon Hotel,Sanya,243.0,Economy,4.5,1,1.0,0.0,109.482326,18.276723,8.3,8.4,8.4
Sanya Qingya Cottage Apartment,Sanya,147.0,Economy,4.0,9,9.0,0.0,109.486346,18.269212,8.1,8.2,8.1
Binlai Hotel,Sanya,82.5,Economy,4.0,15,14.0,0.0,109.49966,18.28348,8.4,8.4,8.4
Lixin Garden Theme Inn,Sanya,120.0,Economy,4.0,17,17.0,0.0,109.436504,18.307807,8.1,8.2,8.2
Runde Wetland Park Hotel,Sanya,393.0,Upscale,3.5,8,7.0,2.0,109.509268,18.27856,7.8,7.6,8.4
vienna hotel,Sanya,283.5,Midscale,2.0,20,12.0,4.0,109.571062,18.279566,5.5,5.6,5.6
Jinneneneba Taishan Island Lake International Resort Island,Sanya,366.0,Upscale,4.0,16,15.0,0.0,109.52247,18.278194,7.6,7.6,7.6
Junmeng Family Apartment,Sanya,85.5,Economy,3.5,7,7.0,0.0,109.520284,18.225584,7.8,7.9,7.6
Sanya Seaside Resort Apartment,Sanya,181.5,Midscale,4.0,18,14.0,1.0,109.492244,18.264857,8.4,7.5,8.0
Hanting,Sanya,163.5,Economy,3.0,47,36.0,4.0,109.500298,18.256693,7.2,7.0,7.0
Slow paced Sea View Boutique Inn,Sanya,127.5,Economy,3.5,18,17.0,0.0,109.498234,18.25547,7.9,8.0,8.1
Early Summer Boutique Suite with Sea View Apartment,Sanya,297.0,Economy,3.5,22,16.0,3.0,109.520308,18.223009,8.0,8.0,8.0
Tianquan Hotel,Sanya,67.5,Economy,3.5,13,11.0,1.0,109.505053,18.250365,7.6,7.9,8.0
Qinghe Ye Garden Villa,Sanya,181.5,Economy,3.5,1,1.0,0.0,109.62471,18.250141,7.3,7.4,7.4
Shiguangli Seascape Theme Inn,Sanya,232.5,Economy,3.5,2,2.0,0.0,109.487755,18.267794,7.6,7.6,7.7
Money Sea View Resort Apartment,Sanya,177.0,Economy,3.5,8,8.0,0.0,109.519951,18.2227,7.7,7.8,7.8
Sanya Tide Sound Dreams Sea View Inn,Sanya,120.0,Economy,4.0,10,10.0,0.0,109.328598,18.30427,8.1,8.3,8.3
Zhimu Inn,Sanya,171.0,Economy,3.5,4,5.0,0.0,109.622794,18.257819,7.3,7.7,7.9
Jiacheng Garden Villa Resort Apartment,Sanya,315.0,Economy,3.5,2,4.0,0.0,109.63981,18.242366,7.4,7.4,7.5
Yiyue Qiushe Fashion Theme Hotel,Sanya,262.5,Economy,3.5,9,7.0,2.0,109.70174,18.305129,7.1,7.1,7.1
Jiawang Family Hotel,Sanya,100.5,Economy,4.0,17,15.0,1.0,109.414373,18.297861,7.7,7.9,8.0
Tingtao Apartment,Sanya,204.0,Economy,3.5,2,1.0,0.0,109.488486,18.265511,6.9,6.9,6.9
Oriental Way Sea View Resort Inn,Sanya,147.0,Economy,4.0,21,19.0,0.0,109.336142,18.302117,7.9,8.0,8.0
Fenglinghai Art Inn,Sanya,121.5,Economy,3.5,12,12.0,1.0,109.498487,18.255079,7.9,8.1,7.8
Coconut Sea Hotel,Sanya,261.0,Midscale,3.5,20,11.0,3.0,109.492721,18.261862,7.4,6.8,7.0
Huayuhai Boutique Hotel,Sanya,186.0,Economy,4.0,25,19.0,3.0,109.519203,18.224788,7.7,8.0,7.8
Sanya Yuexin Meigaomei International Hotel,Sanya,538.5,Luxury,3.5,5,3.0,1.0,109.515602,18.253478,8.1,7.4,7.7
Sanya Haitang Bay Baili Resort Hotel,Sanya,234.0,Upscale,3.5,16,10.0,4.0,109.786409,18.400295,6.9,6.3,7.3
Sanya Junjin Binhai Hotel,Sanya,288.0,Upscale,3.5,182,150.0,14.0,109.532076,18.226996,8.4,7.7,8.2
Beautiful Tree Hotel,Sanya,102.0,Economy,4.0,15,12.0,1.0,109.516013,18.246845,7.9,8.0,8.0
Beijing Vacation Mansion,Sanya,234.0,Economy,4.0,8,8.0,0.0,109.432256,18.289241,8.4,7.8,7.7
Sanya Bay Blue Sea View Apartment,Sanya,250.5,Midscale,4.0,21,19.0,0.0,109.397303,18.289257,7.6,7.7,7.7
Meiyi Riverside Boutique Inn,Sanya,132.0,Economy,4.0,13,10.0,2.0,109.51661,18.243611,7.7,7.8,7.9
Blue Ocean Harbor Resort Apartments,Sanya,208.5,Economy,4.0,1,1.0,0.0,109.520837,18.222158,7.7,7.8,7.8
Sanya Phoenix Villa Resort Apartment,Sanya,159.0,Upscale,3.0,2,1.0,1.0,109.482802,18.291681,6.6,6.7,7.2
Donggang Sea View Theme Hotel,Sanya,219.0,Midscale,3.5,11,8.0,1.0,109.505664,18.236801,7.2,7.4,7.2
Encounter Sanya Sea Family Apartment,Sanya,117.0,Economy,4.0,8,8.0,0.0,109.519915,18.222564,8.1,8.2,8.2
Rainbow Sea View Resort Apartment,Sanya,216.0,Midscale,4.0,21,20.0,0.0,109.493247,18.263726,7.7,8.5,8.4
Wanji Holiday Apartments,Sanya,118.5,Economy,4.0,3,3.0,0.0,109.4984,18.264898,7.2,7.2,6.6
Hongfang Zhongyang Hotel,Sanya,199.5,Economy,3.5,37,27.0,5.0,109.527826,18.223729,7.7,7.9,7.7
California Sea View Resort Apartments,Sanya,151.5,Economy,4.0,35,31.0,2.0,109.52132,18.222712,7.6,7.7,7.7
Sanya Sea Time Villa Inn,Sanya,133.5,Economy,3.5,1,1.0,0.0,109.518654,18.225117,7.6,7.6,7.7
Mihai Inn,Sanya,154.5,Economy,3.5,4,3.0,0.0,109.729703,18.272151,7.6,7.6,7.7
Sanya Mulinshu Wooden House Homestay,Sanya,300.0,Economy,3.5,2,3.0,0.0,109.482149,18.292065,7.6,7.6,7.6
Sanya Tourist Resort Apartment,Sanya,190.5,Economy,3.5,5,4.0,1.0,109.488853,18.265803,7.1,7.2,7.2
Sanya Blue Ocean Beach Seaview Mansion,Sanya,2970.0,Economy,3.5,12,8.0,3.0,109.730951,18.273787,7.4,7.4,7.7
Tropical Fish Sea View Resort Apartment,Sanya,193.5,Economy,3.5,14,14.0,0.0,109.495143,18.228395,7.1,7.2,7.1
Sanya Bay Road Jinlan Bay Sea View Resort Apartment,Sanya,199.5,Economy,3.5,24,21.0,2.0,109.445147,18.288663,7.2,7.2,7.3
Early Summer Boutique Suite with Sea View Apartment,Sanya,102.0,Economy,3.5,6,3.0,1.0,109.520273,18.223021,7.5,7.6,7.6
Sanya Tujia Sveden Resort Apartment,Sanya,333.0,Midscale,3.5,10,9.0,0.0,109.49227,18.26521,7.4,7.5,7.3
Lanshan Boutique Sea View Hotel Apartments,Sanya,522.0,Economy,3.5,1,1.0,0.0,109.494288,18.27505,7.1,7.2,7.2
Little Bear House Express Hotel,Sanya,103.5,Economy,3.5,5,4.0,0.0,109.513124,18.248201,7.1,7.1,7.1
Yan Guijia Home Inn,Sanya,72.0,Economy,3.5,2,2.0,0.0,109.333415,18.303562,7.2,7.2,7.3
Congcong Inn,Sanya,106.5,Economy,3.5,1,1.0,0.0,109.328873,18.303915,7.5,7.5,7.5
Hengqiang Resort Hotel,Sanya,252.0,Economy,3.5,1,1.0,0.0,109.590221,18.281677,7.1,7.2,7.2
Shiguang Theme Inn,Sanya,112.5,Economy,3.5,8,7.0,0.0,109.511678,18.220056,7.2,7.7,7.4
Dreaming of Paradise Inn,Sanya,243.0,Economy,3.5,42,29.0,7.0,109.728977,18.271064,7.4,7.5,7.5
Confucian Apartment,Sanya,145.5,Economy,3.5,5,3.0,1.0,109.34199,18.302479,7.2,7.3,7.1
Sanya 18 Degrees Coastal Sea View Inn,Sanya,123.0,Economy,3.5,16,12.0,4.0,109.498111,18.255187,7.1,7.1,7.3
Golden Road Hotel,Sanya,222.0,Upscale,3.5,30,15.0,6.0,109.496301,18.266332,6.4,6.5,6.0
Sanya Xianlaiju Guesthouse,Sanya,267.0,Midscale,3.5,1,1.0,0.0,109.524098,18.230178,7.2,7.2,7.2
Beautiful Time Holiday,Sanya,166.5,Midscale,3.5,2,2.0,0.0,109.446343,18.301199,7.2,7.1,7.1
Sanya Blue Listening Sea Feeling Waves Inn,Sanya,112.5,Economy,3.5,3,3.0,0.0,109.498505,18.25469,7.4,7.5,7.4
Haiyue Jinwan Sea View Resort Apartment,Sanya,165.0,Economy,3.5,4,4.0,0.0,109.444929,18.288648,7.1,7.1,7.1
Sanya Pa'an Xiaoting Apartment,Sanya,402.0,Economy,3.5,10,7.0,1.0,109.48457,18.270153,7.4,7.5,7.5
Mongolian Sea View Apartment,Sanya,193.5,Economy,3.5,6,6.0,0.0,109.532144,18.227273,7.1,7.1,7.1
Ocean Heart Family Vacation Apartment,Sanya,102.0,Economy,3.5,3,3.0,0.0,109.500635,18.250674,7.1,7.1,7.1
Slow Time Sea View Theme Inn,Sanya,270.0,Economy,4.0,3,3.0,0.0,109.521087,18.22171,8.4,8.1,7.7
Sanya Coconut Sea View Resort Apartment,Sanya,222.0,Economy,3.5,2,4.0,0.0,109.493445,18.26075,7.1,7.1,7.1
Coconut Island Theme Hotel,Sanya,240.0,Economy,3.5,14,10.0,1.0,109.755753,18.405148,7.5,7.8,7.7
Sanya Tule Sea View Resort Apartment,Sanya,208.5,Economy,3.5,2,2.0,0.0,109.484589,18.269943,7.1,7.3,7.1
Sanya Xinhai Sunshine Hotel,Sanya,142.5,Midscale,3.5,4,4.0,0.0,109.503209,18.259202,8.0,7.3,7.4
Longcheng Business Hotel,Sanya,165.0,Economy,3.5,5,5.0,0.0,109.441142,18.302464,7.4,7.4,7.4
Sunshine Home Sea View Resort Apartment,Sanya,187.5,Economy,3.5,5,5.0,0.0,109.441528,18.29296,7.2,7.5,7.4
Youjia Business Hotel,Sanya,202.5,Economy,3.5,23,17.0,4.0,109.6414502,18.24135966,7.2,7.2,7.1
Dadonghai No.5 Villa,Sanya,189.0,Economy,3.5,5,4.0,0.0,109.522581,18.221429,7.8,7.5,7.4
Senliang Liangpin Resort Apartment,Sanya,109.5,Economy,3.5,10,7.0,2.0,109.489603,18.272699,7.5,7.5,7.4
Blue Ocean Phase III Resort Apartment,Sanya,339.0,Economy,3.5,3,3.0,0.0,109.485814,18.269043,7.1,7.0,7.0
7-day chain hotel,Sanya,163.5,Economy,3.0,22,16.0,3.0,109.499934,18.262601,7.1,7.2,7.1
Huabaoshi Grand Hotel,Sanya,249.0,Upscale,3.5,20,14.0,4.0,109.505201,18.245869,7.2,7.0,7.3
Xiduoduo Seascape Inn,Sanya,93.0,Economy,3.5,1,2.0,0.0,109.527272,18.224002,7.1,7.2,7.2
Man Time Sea View Villa,Sanya,477.0,Economy,3.5,1,1.0,0.0,109.377253,18.238556,7.4,7.5,7.5
Jiahe Business Hotel,Sanya,133.5,Economy,3.5,6,5.0,1.0,109.175808,18.344322,7.0,6.5,6.9
Sanya Kangyile Travel Rental,Sanya,450.0,Economy,3.5,1,1.0,0.0,109.127634,18.367369,6.9,7.1,7.1
Carnival Comfortable Sea View Apartment,Sanya,276.0,Midscale,3.5,2,2.0,0.0,109.520004,18.22275,7.0,7.1,7.1
Yunli Top Floor Sea View Resort Apartment,Sanya,151.5,Economy,3.5,1,1.0,0.0,109.489491,18.270495,7.1,7.1,7.1
Sanya Tianya Boutique Inn at This Time,Sanya,40.5,Economy,3.5,11,9.0,0.0,109.332601,18.303634,7.5,7.2,7.2
Sanya Haiyi Boutique Seascape Theme Inn,Sanya,145.5,Economy,3.5,3,3.0,0.0,109.487858,18.267692,8.1,7.4,7.4
Sanya Bay Xiaohaiya Resort Apartment,Sanya,157.5,Economy,3.5,3,2.0,0.0,109.457311,18.283512,7.1,7.0,7.1
Carnival Comfortable Sea View Apartment,Sanya,154.5,Economy,3.5,3,3.0,0.0,109.519963,18.222755,7.0,7.1,7.1
Nomad Tiger Resort Apartment,Sanya,252.0,Economy,3.5,4,3.0,1.0,109.457354,18.284163,7.1,7.1,6.4
Suxi Hotel style Apartment,Sanya,259.5,Midscale,3.5,3,3.0,0.0,109.522775,18.278213,7.0,7.2,7.2
Sanya Time Coast Sea View Resort Hotel,Sanya,373.5,Upscale,3.5,44,36.0,4.0,109.540938,18.230629,7.6,7.0,7.0
Jiubu Bay Resort Apartment,Sanya,172.5,Economy,3.5,1,1.0,0.0,109.441895,18.292227,7.1,7.1,7.1
Dadonghai Style Cabin Apartment,Sanya,202.5,Economy,3.5,1,1.0,0.0,109.520284,18.222466,7.1,7.0,7.0
Sanya Four Seasons Garden Seaview Resort Apartment,Sanya,178.5,Economy,3.5,5,4.0,1.0,109.406058,18.29042,7.2,7.0,7.0
Sanya Beautiful Tree Resort Hotel,Sanya,238.5,Economy,3.5,1,1.0,0.0,109.519848,18.257826,6.9,6.3,6.7
Huiyuan Hotel,Sanya,444.0,Economy,3.5,3,2.0,0.0,109.612206,18.308097,6.9,6.9,7.3
Cloud Sea Ballad Sea View Inn,Sanya,150.0,Economy,3.5,3,4.0,0.0,109.336778,18.302108,7.1,7.1,7.1
Sanya Royal Sea Era Seascape Resort Annex,Sanya,172.5,Midscale,3.5,7,6.0,0.0,109.493317,18.263467,7.1,7.0,6.9
Dadonghai Style Cabin Apartment,Sanya,109.5,Economy,3.5,1,1.0,0.0,109.520328,18.22251,7.0,7.0,7.1
Baili International Resort Apartment,Sanya,279.0,Upscale,3.5,28,21.0,6.0,109.490219,18.278529,7.4,6.5,7.0
Sanya Coconut Dream Full Sea View Theme Inn,Sanya,207.0,Economy,3.5,2,3.0,0.0,109.486633,18.267288,7.0,7.0,7.0
Wanlong Huiyang Sea View Hotel,Sanya,252.0,Economy,3.5,4,3.0,0.0,109.497138,18.256943,7.7,7.6,7.9
Xinying Harbor Sea View Resort Apartment,Sanya,87.0,Economy,3.5,1,1.0,0.0,109.502197,18.244841,7.3,7.4,7.1
Sicily Boutique Hotel,Sanya,127.5,Economy,3.5,5,3.0,0.0,109.523539,18.229854,7.1,7.3,6.9
