Departure City,Arrival City,Distance (km),Flight Number,Airline,Aircraft Type,Departure Time,Arrival Time,Departure Airport,Departure Airport Latitude,Departure Airport Longitude,Arrival Airport,Arrival Airport Latitude,Arrival Airport Longitude,On-Time Performance,Average Delay (minutes),Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Price
Aksu,Urumqi,857,CZ6866,China Southern Airlines,Embraer ERJ-190 (Medium),11:30,12:50,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.68,47,0,1,1,1,1,1,1,620
Aksu,Urumqi,857,CZ6866,China Southern Airlines,Embraer ERJ-190 (Medium),11:30,12:50,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.68,47,1,0,0,0,0,0,0,580
Aksu,Urumqi,857,MF4434,Xiamen Airlines,Embraer ERJ-190 (Medium),11:30,12:50,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.68,47,1,0,0,0,0,0,0,630
Aksu,Urumqi,857,MF4434,Xiamen Airlines,Embraer ERJ-190 (Medium),11:30,12:50,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.68,47,0,1,1,1,1,1,1,560
Aksu,Urumqi,857,CZ6870,China Southern Airlines,Embraer ERJ-190 (Medium),14:35,15:50,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.61,53,1,1,1,1,1,1,1,650
Aksu,Urumqi,857,GS7514,Tianjin Airlines,Embraer ERJ-190 (Medium),14:40,15:55,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.63,42,1,1,1,1,1,1,1,630
Aksu,Urumqi,857,CA1276,Air China,JET,15:40,17:00,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.67,40,1,0,1,0,1,0,1,570
Aksu,Urumqi,857,HU7354,Hainan Airlines,Boeing 737 (Medium),17:20,18:35,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.52,35,1,1,1,1,1,1,1,610
Aksu,Urumqi,857,CZ6864,China Southern Airlines,Boeing 737 (Medium),18:40,20:00,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.66,60,0,0,1,0,1,0,1,600
Aksu,Urumqi,857,CZ6860,China Southern Airlines,Embraer ERJ-190 (Medium),20:25,21:45,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.73,24,0,0,1,0,0,0,0,460
Aksu,Urumqi,857,MF4428,Xiamen Airlines,Embraer ERJ-190 (Medium),20:25,21:45,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.73,24,0,0,1,0,0,0,0,430
Aksu,Urumqi,857,CZ6860,China Southern Airlines,Embraer ERJ-190 (Medium),20:40,22:00,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.73,24,1,0,0,0,0,0,0,430
Altay,Urumqi,450,CZ6844,China Southern Airlines,Embraer ERJ-190 (Medium),10:35,11:35,Altay Airport,47.75797257,88.09238741,Diwopu Airport,43.90839256,87.48112787,0.66,51,1,1,1,1,1,1,1,370
Altay,Urumqi,450,CZ8698,China Southern Airlines,JET,15:25,16:30,Altay Airport,47.75797257,88.09238741,Diwopu Airport,43.90839256,87.48112787,0.56,54,1,0,0,0,0,0,0,320
Altay,Urumqi,450,CZ8698,China Southern Airlines,Embraer ERJ-190 (Medium),22:50,23:55,Altay Airport,47.75797257,88.09238741,Diwopu Airport,43.90839256,87.48112787,0.56,54,0,0,0,1,0,1,0,240
Anqing,Beijing,1082,HU7681,Hainan Airlines,Boeing 737 (Medium),18:45,20:40,Tianzhushan Airport,30.58957072,117.0587858,Capital Airport,40.06248537,116.5992671,0.87,11,1,1,1,1,0,1,1,750
Anqing,Beijing,1082,HU7681,Hainan Airlines,Boeing 737 (Medium),19:10,21:05,Tianzhushan Airport,30.58957072,117.0587858,Capital Airport,40.06248537,116.5992671,0.87,11,0,0,0,0,1,0,0,510
Anqing,Haikou,1738,HU7682,Hainan Airlines,Boeing 737 (Medium),12:20,14:50,Tianzhushan Airport,30.58957072,117.0587858,Meilan Airport,19.94518993,110.4673336,0.89,14,1,1,1,1,1,1,1,1190
Anqing,Kunming,1538,8L9960,Lucky Air,Boeing 737 (Medium),14:00,16:50,Tianzhushan Airport,30.58957072,117.0587858,Changshui Airport,25.102871,102.935615,0.64,35,0,0,0,0,1,0,0,1040
Anqing,Kunming,1538,8L9960,Lucky Air,Boeing 737 (Medium),14:00,17:00,Tianzhushan Airport,30.58957072,117.0587858,Changshui Airport,25.102871,102.935615,0.64,35,1,0,1,0,0,0,1,1100
Anqing,Ningbo,433,8L9959,Lucky Air,Boeing 737 (Medium),10:05,11:05,Tianzhushan Airport,30.58957072,117.0587858,Lishe Airport,29.82424505,121.4740383,0.78,12,1,0,1,0,1,0,1,350
Anqing,Xiamen,710,GS7633,Tianjin Airlines,Other Aircraft Types,10:00,11:40,Tianzhushan Airport,30.58957072,117.0587858,Gaoqi Airport,24.54026952,118.1389623,0.98,0,1,0,1,0,1,0,1,490
Anqing,Xi'an,889,GS7634,Tianjin Airlines,Other Aircraft Types,14:50,16:50,Tianzhushan Airport,30.58957072,117.0587858,Xianyang Airport,34.44342046,108.7704662,0.65,22,1,0,1,0,1,0,1,670
Baotou,Beijing,579,CA1136,Air China,Other Aircraft Types,8:30,9:55,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.92,26,1,1,1,1,1,1,1,320
Baotou,Beijing,579,HU7126,Hainan Airlines,Boeing 737 (Medium),11:10,12:35,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.79,11,0,0,0,0,0,0,1,420
Baotou,Beijing,579,HU7126,Hainan Airlines,Boeing 737 (Medium),11:25,12:45,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.79,11,0,0,1,0,0,0,0,400
Baotou,Beijing,579,CA1122,Air China,Boeing 737 (Medium),12:20,13:40,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.72,30,1,1,1,1,1,1,1,410
Baotou,Beijing,579,HU7126,Hainan Airlines,Boeing 737 (Medium),21:40,23:05,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.79,11,0,1,0,0,0,0,0,320
Baotou,Beijing,579,CA1108,Air China,JET,22:35,23:55,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.96,0,1,0,1,0,1,0,1,290
Baotou,Beijing,579,CA1108,Air China,Boeing 737 (Medium),22:45,0:10,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.96,0,0,1,0,1,0,0,0,310
Baotou,Beijing,579,SC1108,Shandong Airlines,Boeing 737 (Medium),22:45,0:10,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.96,0,0,1,0,0,0,0,0,310
Baotou,Beijing,579,ZH1108,Shenzhen Airlines,Boeing 737 (Medium),22:45,0:10,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.96,0,0,1,0,0,0,0,0,320
Baotou,Beijing,579,CA1108,Air China,Boeing 737 (Medium),22:50,0:25,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.96,0,0,0,0,0,0,1,0,320
Baotou,Beijing,579,JD5118,Beijing Capital Airlines,Airbus A320 (Medium),23:00,0:35,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.96,0,0,0,1,0,0,1,0,330
Baotou,Beijing,579,JD5118,Beijing Capital Airlines,Airbus A320 (Medium),23:35,0:55,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.96,0,1,0,0,0,1,0,0,290
Baotou,Beijing,579,HU7126,Hainan Airlines,Boeing 737 (Medium),23:40,1:05,Erliban Airport,40.57220914,110.0086252,Capital Airport,40.06248537,116.5992671,0.79,11,0,0,0,1,0,0,0,310
Baotou,Chengdu,1630,CZ6455,China Southern Airlines,Airbus A320 (Medium),11:05,13:30,Erliban Airport,40.57220914,110.0086252,Shuangliu Airport,30.58461845,103.9652352,0.92,19,1,0,1,0,1,0,1,1010
Baotou,Guangzhou,1981,CZ3196,China Southern Airlines,Boeing 737 (Medium),13:10,18:05,Erliban Airport,40.57220914,110.0086252,Baiyun Airport,23.19093714,113.2728721,0.78,34,0,1,0,1,0,1,0,1270
Baotou,Guangzhou,1981,G55004,China Express Airlines,Boeing 737 (Medium),13:10,18:05,Erliban Airport,40.57220914,110.0086252,Baiyun Airport,23.19093714,113.2728721,0.77,35,0,1,0,1,0,1,0,1260
Baotou,Guangzhou,1981,MF1086,Xiamen Airlines,Boeing 737 (Medium),13:10,18:05,Erliban Airport,40.57220914,110.0086252,Baiyun Airport,23.19093714,113.2728721,0.78,34,0,1,0,1,0,1,0,1230
Baotou,Guangzhou,1981,MU4676,China Eastern Airlines,Boeing 737 (Medium),13:10,18:05,Erliban Airport,40.57220914,110.0086252,Baiyun Airport,23.19093714,113.2728721,0.78,34,0,1,0,1,0,1,0,1240
Baotou,Guangzhou,1981,ZH9146,Shenzhen Airlines,Airbus A320 (Medium),20:10,23:50,Erliban Airport,40.57220914,110.0086252,Baiyun Airport,23.19093714,113.2728721,1.0,0,0,1,0,1,0,1,0,910
Baotou,Harbin,1435,MU5779,China Eastern Airlines,Boeing 737 (Medium),12:15,14:45,Erliban Airport,40.57220914,110.0086252,Taiping Airport,45.62907772,126.2496215,0.82,7,1,0,1,0,1,0,1,890
Baotou,Hangzhou,1642,HU7156,Hainan Airlines,Boeing 737 (Medium),12:20,16:00,Erliban Airport,40.57220914,110.0086252,Xiaoshan Airport,30.24722389,120.4414091,0.6,34,1,1,1,1,1,1,1,1090
Baotou,Jinan,1084,3U1078,Sichuan Airlines,Boeing 737 (Medium),20:20,23:35,Erliban Airport,40.57220914,110.0086252,Yaoqiang Airport,36.85781551,117.2202663,1.0,0,0,0,0,1,0,0,1,490
Baotou,Jinan,1084,3U1078,Sichuan Airlines,Boeing 737 (Medium),20:20,23:35,Erliban Airport,40.57220914,110.0086252,Yaoqiang Airport,36.85781551,117.2202663,1.0,0,0,1,1,0,0,0,0,500
Baotou,Jinan,1084,CA4904,Air China,Boeing 737 (Medium),20:20,23:35,Erliban Airport,40.57220914,110.0086252,Yaoqiang Airport,36.85781551,117.2202663,1.0,0,0,0,0,1,0,0,1,490
Baotou,Jinan,1084,CA4904,Air China,Boeing 737 (Medium),20:20,23:35,Erliban Airport,40.57220914,110.0086252,Yaoqiang Airport,36.85781551,117.2202663,1.0,0,0,1,1,0,0,0,0,500
Baotou,Jinan,1084,SC4904,Shandong Airlines,Boeing 737 (Medium),20:20,23:35,Erliban Airport,40.57220914,110.0086252,Yaoqiang Airport,36.85781551,117.2202663,1.0,0,0,1,1,0,0,0,0,500
Baotou,Jinan,1084,SC4904,Shandong Airlines,Boeing 737 (Medium),20:20,23:35,Erliban Airport,40.57220914,110.0086252,Yaoqiang Airport,36.85781551,117.2202663,1.0,0,0,0,0,1,0,0,1,530
Baotou,Kunming,1931,MU5780,China Eastern Airlines,Boeing 737 (Medium),19:20,22:30,Erliban Airport,40.57220914,110.0086252,Changshui Airport,25.102871,102.935615,0.82,12,1,0,1,0,1,0,1,900
Baotou,Lanzhou,744,DR6528,Ruili Airlines,Boeing 737 (Medium),16:00,17:40,Erliban Airport,40.57220914,110.0086252,Zhongchuan Airport,36.51357729,103.6246677,0.95,7,1,1,1,1,1,1,1,500
Baotou,Luoyang,1046,CZ6764,China Southern Airlines,Airbus A320 (Medium),19:50,21:10,Erliban Airport,40.57220914,110.0086252,Beijiao Airport,34.66394,112.448501,0.94,7,1,0,1,0,0,0,0,500
Baotou,Qingdao,1261,CA4644,Air China,Bombardier CRJ (Small),21:15,1:05,Erliban Airport,40.57220914,110.0086252,Liuting Airport,36.2721234,120.3938044,1.0,0,0,0,0,1,0,0,0,600
Baotou,Qingdao,1261,CA4644,Air China,Bombardier CRJ (Small),21:15,1:05,Erliban Airport,40.57220914,110.0086252,Liuting Airport,36.2721234,120.3938044,1.0,0,1,0,0,0,0,1,0,630
Baotou,Qingdao,1261,SC4644,Shandong Airlines,Bombardier CRJ (Small),21:15,1:05,Erliban Airport,40.57220914,110.0086252,Liuting Airport,36.2721234,120.3938044,1.0,0,1,0,0,0,0,1,0,630
Baotou,Qingdao,1261,SC4644,Shandong Airlines,Bombardier CRJ (Small),21:15,1:05,Erliban Airport,40.57220914,110.0086252,Liuting Airport,36.2721234,120.3938044,1.0,0,0,0,0,1,0,0,0,640
Baotou,Sanya,2742,JD5399,Beijing Capital Airlines,Airbus A321 (Medium),14:40,20:30,Erliban Airport,40.57220914,110.0086252,Phoenix Airport,18.31383629,109.4183837,0.84,17,1,1,1,0,1,1,1,1800
Baotou,Sanya,2742,JD5399,Beijing Capital Airlines,Airbus A321 (Medium),18:15,0:20,Erliban Airport,40.57220914,110.0086252,Phoenix Airport,18.31383629,109.4183837,0.84,17,0,0,0,1,0,0,0,1710
Baotou,Shanghai,1650,MU4022,China Eastern Airlines,Airbus A320 (Medium),20:30,23:25,Erliban Airport,40.57220914,110.0086252,Pudong Airport,31.1553416,121.8104999,0.98,0,1,0,0,0,1,0,0,790
Baotou,Shanghai,1650,HO1058,Juneyao Airlines,Airbus A320 (Medium),21:00,23:50,Erliban Airport,40.57220914,110.0086252,Hongqiao Airport,31.20016713,121.3555547,0.98,0,0,1,0,1,0,1,0,710
Baotou,Shenyang,1228,CZ6456,China Southern Airlines,Airbus A320 (Medium),17:55,20:05,Erliban Airport,40.57220914,110.0086252,Taoxian Airport,41.64341169,123.5009056,0.92,14,1,0,1,0,1,0,1,800
Baotou,Shenyang,1228,CZ6414,China Southern Airlines,Airbus A319 (Medium),20:45,22:45,Erliban Airport,40.57220914,110.0086252,Taoxian Airport,41.64341169,123.5009056,0.87,25,0,1,0,1,0,1,0,590
Baotou,Shenzhen,2250,CZ6764,China Southern Airlines,Airbus A320 (Medium),19:50,0:20,Erliban Airport,40.57220914,110.0086252,Bao'an Airport,22.64648838,113.8368339,0.76,17,1,0,1,0,0,0,0,970
Baotou,Shijiazhuang,560,HU7156,Hainan Airlines,Boeing 737 (Medium),12:20,13:20,Erliban Airport,40.57220914,110.0086252,Zhengding Airport,38.28895505,114.6989382,0.82,18,1,1,1,1,1,1,1,400
Baotou,Taiyuan,426,3U1078,Sichuan Airlines,Boeing 737 (Medium),20:20,21:30,Erliban Airport,40.57220914,110.0086252,Wusu Airport,37.76147318,112.637907,1.0,0,0,1,1,0,0,0,0,240
Baotou,Taiyuan,426,3U1078,Sichuan Airlines,Boeing 737 (Medium),20:20,21:30,Erliban Airport,40.57220914,110.0086252,Wusu Airport,37.76147318,112.637907,1.0,0,0,0,0,1,0,0,1,240
Baotou,Taiyuan,426,CA4904,Air China,Boeing 737 (Medium),20:20,21:30,Erliban Airport,40.57220914,110.0086252,Wusu Airport,37.76147318,112.637907,1.0,0,0,1,1,0,0,0,0,230
Baotou,Taiyuan,426,CA4904,Air China,Boeing 737 (Medium),20:20,21:30,Erliban Airport,40.57220914,110.0086252,Wusu Airport,37.76147318,112.637907,1.0,0,0,0,0,1,0,0,1,250
Baotou,Taiyuan,426,SC4904,Shandong Airlines,Boeing 737 (Medium),20:20,21:30,Erliban Airport,40.57220914,110.0086252,Wusu Airport,37.76147318,112.637907,1.0,0,0,0,0,1,0,0,1,260
Baotou,Taiyuan,426,SC4904,Shandong Airlines,Boeing 737 (Medium),20:20,21:30,Erliban Airport,40.57220914,110.0086252,Wusu Airport,37.76147318,112.637907,1.0,0,0,1,1,0,0,0,0,260
Baotou,Tianjin,818,CA4644,Air China,Bombardier CRJ (Small),21:15,22:45,Erliban Airport,40.57220914,110.0086252,Binhai Airport,39.13701,117.368077,0.77,10,0,0,0,1,0,0,0,400
Baotou,Tianjin,818,CA4644,Air China,Bombardier CRJ (Small),21:15,22:45,Erliban Airport,40.57220914,110.0086252,Binhai Airport,39.13701,117.368077,0.77,10,1,0,0,0,0,1,0,400
Baotou,Tianjin,818,SC4644,Shandong Airlines,Bombardier CRJ (Small),21:15,22:45,Erliban Airport,40.57220914,110.0086252,Binhai Airport,39.13701,117.368077,0.77,10,0,0,0,1,0,0,0,420
Baotou,Tianjin,818,SC4644,Shandong Airlines,Bombardier CRJ (Small),21:15,22:45,Erliban Airport,40.57220914,110.0086252,Binhai Airport,39.13701,117.368077,0.77,10,1,0,0,0,0,1,0,420
Baotou,Wuhan,1249,DR6528,Ruili Airlines,Boeing 737 (Medium),16:00,20:30,Erliban Airport,40.57220914,110.0086252,Tianhe Airport,30.78190847,114.2251467,0.95,7,1,1,1,1,1,1,1,880
Baotou,Urumqi,2085,CZ6413,China Southern Airlines,Airbus A319 (Medium),12:40,16:05,Erliban Airport,40.57220914,110.0086252,Diwopu Airport,43.90839256,87.48112787,0.95,12,0,1,0,1,0,1,0,1460
Baotou,Zhengzhou,886,CZ3196,China Southern Airlines,Boeing 737 (Medium),13:10,14:50,Erliban Airport,40.57220914,110.0086252,Xinzheng Airport,34.53146214,113.8526054,0.77,46,0,1,0,1,0,1,0,630
Baotou,Zhengzhou,886,G55004,China Express Airlines,Boeing 737 (Medium),13:10,14:50,Erliban Airport,40.57220914,110.0086252,Xinzheng Airport,34.53146214,113.8526054,0.78,40,0,1,0,1,0,1,0,610
Baotou,Zhengzhou,886,MF1086,Xiamen Airlines,Boeing 737 (Medium),13:10,14:50,Erliban Airport,40.57220914,110.0086252,Xinzheng Airport,34.53146214,113.8526054,0.78,38,0,1,0,1,0,1,0,670
Baotou,Zhengzhou,886,MU4676,China Eastern Airlines,Boeing 737 (Medium),13:10,14:50,Erliban Airport,40.57220914,110.0086252,Xinzheng Airport,34.53146214,113.8526054,0.78,38,0,1,0,1,0,1,0,580
Baotou,Zhengzhou,886,JD5399,Beijing Capital Airlines,Airbus A321 (Medium),14:40,16:10,Erliban Airport,40.57220914,110.0086252,Xinzheng Airport,34.53146214,113.8526054,0.91,11,1,1,1,0,1,1,1,600
Baotou,Zhengzhou,886,JD5399,Beijing Capital Airlines,Airbus A321 (Medium),18:15,20:00,Erliban Airport,40.57220914,110.0086252,Xinzheng Airport,34.53146214,113.8526054,0.91,11,0,0,0,1,0,0,0,680
Baoshan,Beijing,3000,MU9741,China Eastern Airlines,Boeing 737 (Medium),20:30,23:50,Baoshan Airport,25.05772827,99.1721355,Capital Airport,40.06248537,116.5992671,0.26,54,0,1,0,1,0,0,0,1410
Baoshan,Beijing,3000,MU9741,China Eastern Airlines,Boeing 737 (Medium),21:00,0:20,Baoshan Airport,25.05772827,99.1721355,Capital Airport,40.06248537,116.5992671,0.26,54,0,0,0,0,0,1,0,1180
Baoshan,Guangzhou,1730,MU5737,China Eastern Airlines,JET,13:30,17:50,Baoshan Airport,25.05772827,99.1721355,Baiyun Airport,23.19093714,113.2728721,0.96,0,1,1,1,1,1,1,1,1180
Baoshan,Hangzhou,2172,MU5793,China Eastern Airlines,Boeing 737 (Medium),10:20,13:15,Baoshan Airport,25.05772827,99.1721355,Xiaoshan Airport,30.24722389,120.4414091,0.92,17,1,0,1,0,1,0,0,1430
Baoshan,Kunming,373,MU5988,China Eastern Airlines,Boeing 737 (Medium),10:25,11:35,Baoshan Airport,25.05772827,99.1721355,Changshui Airport,25.102871,102.935615,0.67,28,0,1,0,1,0,1,1,300
Baoshan,Kunming,373,MU9742,China Eastern Airlines,Boeing 737 (Medium),10:50,12:05,Baoshan Airport,25.05772827,99.1721355,Changshui Airport,25.102871,102.935615,0.44,101,0,1,0,0,0,0,0,310
Baoshan,Kunming,373,MU9742,China Eastern Airlines,Boeing 737 (Medium),11:50,12:55,Baoshan Airport,25.05772827,99.1721355,Changshui Airport,25.102871,102.935615,0.44,101,0,0,0,0,0,1,0,310
Baoshan,Kunming,373,MU9742,China Eastern Airlines,Boeing 737 (Medium),11:50,13:00,Baoshan Airport,25.05772827,99.1721355,Changshui Airport,25.102871,102.935615,0.44,101,0,0,0,1,0,0,0,280
Baoshan,Kunming,373,MU5737,China Eastern Airlines,Boeing 737 (Medium),13:30,14:40,Baoshan Airport,25.05772827,99.1721355,Changshui Airport,25.102871,102.935615,0.88,20,1,1,1,1,1,1,1,290
Baoshan,Kunming,373,MU5988,China Eastern Airlines,Boeing 737 (Medium),18:25,19:35,Baoshan Airport,25.05772827,99.1721355,Changshui Airport,25.102871,102.935615,0.67,28,1,0,1,0,1,0,0,280
Baoshan,Shenzhen,1515,MU5988,China Eastern Airlines,JET,10:25,15:50,Baoshan Airport,25.05772827,99.1721355,Bao'an Airport,22.64648838,113.8368339,0.89,11,0,1,0,1,0,1,1,1090
Beihai,Beijing,2378,CZ3147,China Southern Airlines,Airbus A321 (Medium),8:05,12:55,Fucheng Airport,21.54417389,109.2983955,Capital Airport,40.06248537,116.5992671,0.84,10,1,1,1,1,1,1,1,1070
Beihai,Beijing,2378,CA1882,Air China,JET,20:50,0:15,Fucheng Airport,21.54417389,109.2983955,Capital Airport,40.06248537,116.5992671,0.23,61,0,0,0,0,0,1,0,1040
Beihai,Beijing,2378,CA1882,Air China,JET,20:50,0:15,Fucheng Airport,21.54417389,109.2983955,Capital Airport,40.06248537,116.5992671,0.23,61,1,1,1,1,1,0,1,1080
Beihai,Beijing,2378,ZH1882,Shenzhen Airlines,JET,20:50,0:15,Fucheng Airport,21.54417389,109.2983955,Capital Airport,40.06248537,116.5992671,0.23,61,1,1,1,1,1,0,1,1090
Beihai,Beijing,2378,ZH1882,Shenzhen Airlines,JET,20:50,0:15,Fucheng Airport,21.54417389,109.2983955,Capital Airport,40.06248537,116.5992671,0.23,61,0,0,0,0,0,1,0,1050
Beihai,Changsha,1042,CZ3147,China Southern Airlines,Airbus A321 (Medium),8:05,9:45,Fucheng Airport,21.54417389,109.2983955,Huanghua Airport,28.19897181,113.2261229,0.96,0,1,1,1,1,1,1,1,550
Beihai,Chengdu,1216,EU2716,Chengdu Airlines,Airbus A319 (Medium),15:55,18:00,Fucheng Airport,21.54417389,109.2983955,Shuangliu Airport,30.58461845,103.9652352,0.94,14,1,0,1,0,1,0,1,840
Beihai,Chongqing,1070,EU2717,Chengdu Airlines,Airbus A319 (Medium),10:10,12:10,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.92,16,1,0,1,0,1,0,1,670
Beihai,Chongqing,1070,CZ3620,China Southern Airlines,Boeing 737 (Medium),16:05,17:50,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.92,18,0,1,0,0,0,0,0,720
Beihai,Chongqing,1070,CZ3620,China Southern Airlines,Boeing 737 (Medium),16:05,17:50,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.92,18,1,0,1,1,1,0,1,760
Beihai,Chongqing,1070,G55020,China Express Airlines,Boeing 737 (Medium),16:05,17:50,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.92,18,0,1,0,1,0,0,0,790
Beihai,Chongqing,1070,MF1448,Xiamen Airlines,Boeing 737 (Medium),16:05,17:50,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.92,18,0,1,0,1,0,0,0,800
Beihai,Chongqing,1070,CZ3620,China Southern Airlines,Boeing 737 (Medium),16:05,18:00,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.92,18,0,0,0,0,0,1,0,720
Beihai,Chongqing,1070,3U2006,Sichuan Airlines,Bombardier CRJ900,20:50,0:15,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.86,10,1,0,0,0,1,0,1,480
Beihai,Chongqing,1070,CA5810,Air China,Bombardier CRJ900,20:50,0:15,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.86,10,1,0,0,0,1,0,1,490
Beihai,Chongqing,1070,CZ5592,China Southern Airlines,Bombardier CRJ900,20:50,0:15,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.86,10,1,0,0,0,1,0,1,480
Beihai,Chongqing,1070,G52612,China Express Airlines,Bombardier CRJ900,20:50,0:15,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.86,10,1,0,0,0,1,0,1,510
Beihai,Chongqing,1070,SC2612,Shandong Airlines,Bombardier CRJ900,20:50,0:15,Fucheng Airport,21.54417389,109.2983955,Jiangbei Airport,29.715551,106.661763,0.86,10,1,0,0,0,1,0,1,550
Beihai,Guangzhou,606,CZ3354,China Southern Airlines,Boeing 737 (Medium),8:20,9:40,Fucheng Airport,21.54417389,109.2983955,Baiyun Airport,23.19093714,113.2728721,0.99,0,1,1,1,1,1,1,1,300
